Release 6.3.03i - Par G.38
Copyright (c) 1995-2004 Xilinx, Inc.  All rights reserved.

Thu Jul 14 12:12:01 2005


NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The ,
character is used as the data field separator. This file is also designed
to support parsing.

INPUT FILE:       tri_level_module_map.ncd
OUTPUT FILE:      tri_level_module_pad.csv
PART TYPE:        xc3s200
SPEED GRADE:      -5
PACKAGE:          pq208

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
P55,,,M0,,,,,,,,,,
P56,,,M2,,,,,,,,,,
P57,,IOB,IO_L01P_5/CS_B,UNUSED,,5,,,,,,,
P58,,IOB,IO_L01N_5/RDWR_B,UNUSED,,5,,,,,,,
P59,,,GND,,,,,,,,,,
P60,,,VCCO_5,,,5,,,,,2.50,,
P61,,IOB,IO_L10P_5/VRN_5,UNUSED,,5,,,,,,,
P62,,IOB,IO_L10N_5/VRP_5,UNUSED,,5,,,,,,,
P63,,IOB,IO,UNUSED,,5,,,,,,,
P64,,IOB,IO_L27P_5,UNUSED,,5,,,,,,,
P65,,IOB,IO_L27N_5/VREF_5,UNUSED,,5,,,,,,,
P66,,,GND,,,,,,,,,,
P67,,IOB,IO_L28P_5/D7,UNUSED,,5,,,,,,,
P68,,IOB,IO_L28N_5/D6,UNUSED,,5,,,,,,,
P69,,,VCCAUX,,,,,,,,2.5,,
P70,,,VCCINT,,,,,,,,1.2,,
P71,,IOB,IO,UNUSED,,5,,,,,,,
P72,,IOB,IO_L31P_5/D5,UNUSED,,5,,,,,,,
P73,,,VCCO_5,,,5,,,,,2.50,,
P74,,IOB,IO_L31N_5/D4,UNUSED,,5,,,,,,,
P75,,,GND,,,,,,,,,,
P76,f1484_i,IOB,IO_L32P_5/GCLK2,INPUT,LVCMOS25,5,,,,NONE,,LOCATED,
P77,f1485_i,IOB,IO_L32N_5/GCLK3,INPUT,LVCMOS25,5,,,,NONE,,LOCATED,
P78,,IOB,IO/VREF_5,UNUSED,,5,,,,,,,
P79,,IOB,IO_L32P_4/GCLK0,UNUSED,,4,,,,,,,
P80,mreset_i,IOB,IO_L32N_4/GCLK1,INPUT,LVCMOS25,4,,,,NONE,,LOCATED,
P81,f4m_i,IOB,IO_L31P_4/DOUT/BUSY,INPUT,LVCMOS25,4,,,,IFD,,LOCATED,
P82,,,GND,,,,,,,,,,
P83,,IOB,IO_L31N_4/INIT_B,UNUSED,,4,,,,,,,
P84,,,VCCO_4,,,4,,,,,2.50,,
P85,f8g_i,IOB,IO/VREF_4,INPUT,LVCMOS25,4,,,,IFD,,LOCATED,
P86,,IOB,IO_L30P_4/D3,UNUSED,,4,,,,,,,
P87,,IOB,IO_L30N_4/D2,UNUSED,,4,,,,,,,
P88,,,VCCINT,,,,,,,,1.2,,
P89,,,VCCAUX,,,,,,,,2.5,,
P90,res2_o,IOB,IO_L27P_4/D1,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,
P91,,,GND,,,,,,,,,,
P92,,IOB,IO_L27N_4/DIN/D0,UNUSED,,4,,,,,,,
P93,res1_o,IOB,IO,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,
P94,,IOB,IO_L25P_4,UNUSED,,4,,,,,,,
P95,,IOB,IO_L25N_4,UNUSED,,4,,,,,,,
P96,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,
P97,led2_o,IOB,IO,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,
P98,,,VCCO_4,,,4,,,,,2.50,,
P99,,,GND,,,,,,,,,,
P100,,IOB,IO_L01P_4/VRN_4,UNUSED,,4,,,,,,,
P101,,IOB,IO_L01N_4/VRP_4,UNUSED,,4,,,,,,,
P102,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,
P103,,,DONE,,,,,,,,,,
P104,,,CCLK,,,,,,,,,,
P105,,,GND,,,,,,,,,,
P106,,IOB,IO_L01P_3/VRN_3,UNUSED,,3,,,,,,,
P107,,IOB,IO_L01N_3/VRP_3,UNUSED,,3,,,,,,,
P108,,IOB,IO_L17P_3/VREF_3,UNUSED,,3,,,,,,,
P109,,IOB,IO_L17N_3,UNUSED,,3,,,,,,,
P110,,,VCCO_3,,,3,,,,,2.50,,
P111,,IOB,IO_L19P_3,UNUSED,,3,,,,,,,
P112,,,GND,,,,,,,,,,
P113,,IOB,IO_L19N_3,UNUSED,,3,,,,,,,
P114,,IOB,IO_L20P_3,UNUSED,,3,,,,,,,
P115,sck_i,IOB,IO_L20N_3,INPUT,LVCMOS25,3,,,,NONE,,LOCATED,
P116,,IOB,IO_L21P_3,UNUSED,,3,,,,,,,
P117,,IOB,IO_L21N_3,UNUSED,,3,,,,,,,
P118,,,GND,,,,,,,,,,
P119,,IOB,IO_L22P_3,UNUSED,,3,,,,,,,
P120,,IOB,IO_L22N_3,UNUSED,,3,,,,,,,
P121,,,VCCAUX,,,,,,,,2.5,,
P122,,IOB,IO_L23P_3/VREF_3,UNUSED,,3,,,,,,,
P123,mosi_i,IOB,IO_L23N_3,INPUT,LVCMOS25,3,,,,IFD,,LOCATED,
P124,cs1_i,IOB,IO_L24P_3,INPUT,LVCMOS25,3,,,,IFD,,LOCATED,
P125,,IOB,IO_L24N_3,UNUSED,,3,,,,,,,
P126,led1_o,IOB,IO_L39P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,LOCATED,
P127,,,VCCO_3,,,3,,,,,2.50,,
P128,,IOB,IO_L39N_3,UNUSED,,3,,,,,,,
P129,,,GND,,,,,,,,,,
P130,,IOB,IO_L40P_3,UNUSED,,3,,,,,,,
P131,,IOB,IO_L40N_3/VREF_3,UNUSED,,3,,,,,,,
P132,,IOB,IO_L40P_2/VREF_2,UNUSED,,2,,,,,,,
P133,,IOB,IO_L40N_2,UNUSED,,2,,,,,,,
P134,,,GND,,,,,,,,,,
P135,,IOB,IO_L39P_2,UNUSED,,2,,,,,,,
P136,,,VCCO_2,,,2,,,,,2.50,,
P137,,IOB,IO_L39N_2,UNUSED,,2,,,,,,,
P138,,IOB,IO_L24P_2,UNUSED,,2,,,,,,,
P139,,IOB,IO_L24N_2,UNUSED,,2,,,,,,,
P140,,IOB,IO_L23P_2,UNUSED,,2,,,,,,,
P141,led3_o,IOB,IO_L23N_2/VREF_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,
P142,,,VCCAUX,,,,,,,,2.5,,
P143,,IOB,IO_L22P_2,UNUSED,,2,,,,,,,
P144,,IOB,IO_L22N_2,UNUSED,,2,,,,,,,
P145,,,GND,,,,,,,,,,
P146,clmp4_o,IOB,IO_L21P_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,
P147,clmp3_o,IOB,IO_L21N_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,
P148,clmp2_o,IOB,IO_L20P_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,
P149,clmp1_o,IOB,IO_L20N_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,LOCATED,
P150,,IOB,IO_L19P_2,UNUSED,,2,,,,,,,
P151,,,GND,,,,,,,,,,
P152,,IOB,IO_L19N_2,UNUSED,,2,,,,,,,
P153,,,VCCO_2,,,2,,,,,2.50,,
P154,,IOB,IO/VREF_2,UNUSED,,2,,,,,,,
P155,,IOB,IO_L01P_2/VRN_2,UNUSED,,2,,,,,,,
P156,,IOB,IO_L01N_2/VRP_2,UNUSED,,2,,,,,,,
P157,,,GND,,,,,,,,,,
P158,,,TDO,,,,,,,,,,
P159,,,TCK,,,,,,,,,,
P160,,,TMS,,,,,,,,,,
P161,tsg4_o<0>,IOB,IO_L01P_1/VRN_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,
P162,tsg4_o<1>,IOB,IO_L01N_1/VRP_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,
P163,,,GND,,,,,,,,,,
P164,,,VCCO_1,,,1,,,,,2.50,,
P165,tsg4_o<2>,IOB,IO_L10P_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,
P166,tsg4_o<3>,IOB,IO_L10N_1/VREF_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,
P167,tsg3_o<0>,IOB,IO,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,
P168,tsg3_o<1>,IOB,IO_L27P_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,
P169,tsg3_o<2>,IOB,IO_L27N_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,
P170,,,GND,,,,,,,,,,
P171,tsg3_o<3>,IOB,IO_L28P_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,
P172,tsg2_o<0>,IOB,IO_L28N_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,
P173,,,VCCAUX,,,,,,,,2.5,,
P174,,,VCCINT,,,,,,,,1.2,,
P175,tsg2_o<1>,IOB,IO,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,
P176,tsg2_o<2>,IOB,IO_L31P_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,
P177,,,VCCO_1,,,1,,,,,2.50,,
P178,tsg2_o<3>,IOB,IO_L31N_1/VREF_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,
P179,,,GND,,,,,,,,,,
P180,tsg1_o<0>,IOB,IO_L32P_1/GCLK4,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,
P181,tsg1_o<1>,IOB,IO_L32N_1/GCLK5,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,
P182,tsg1_o<2>,IOB,IO,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,LOCATED,
P183,tsg1_o<3>,IOB,IO_L32P_0/GCLK6,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,LOCATED,
P184,,IOB,IO_L32N_0/GCLK7,UNUSED,,0,,,,,,,
P185,,IOB,IO_L31P_0/VREF_0,UNUSED,,0,,,,,,,
P186,,,GND,,,,,,,,,,
P187,,IOB,IO_L31N_0,UNUSED,,0,,,,,,,
P188,,,VCCO_0,,,0,,,,,2.50,,
P189,,IOB,IO,UNUSED,,0,,,,,,,
P190,,IOB,IO_L30P_0,UNUSED,,0,,,,,,,
P191,,IOB,IO_L30N_0,UNUSED,,0,,,,,,,
P192,,,VCCINT,,,,,,,,1.2,,
P193,,,VCCAUX,,,,,,,,2.5,,
P194,,IOB,IO_L27P_0,UNUSED,,0,,,,,,,
P195,,,GND,,,,,,,,,,
P196,,IOB,IO_L27N_0,UNUSED,,0,,,,,,,
P197,,IOB,IO,UNUSED,,0,,,,,,,
P198,,IOB,IO_L25P_0,UNUSED,,0,,,,,,,
P199,,IOB,IO_L25N_0,UNUSED,,0,,,,,,,
P200,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,
P201,,,VCCO_0,,,0,,,,,2.50,,
P202,,,GND,,,,,,,,,,
P203,,IOB,IO_L01P_0/VRN_0,UNUSED,,0,,,,,,,
P204,,IOB,IO_L01N_0/VRP_0,UNUSED,,0,,,,,,,
P205,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,
P206,,,HSWAP_EN,,,,,,,,,,
P207,,,PROG_B,,,,,,,,,,
P208,,,TDI,,,,,,,,,,

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen.

