Release 6.3.03i - Par G.38
Copyright (c) 1995-2004 Xilinx, Inc.  All rights reserved.

Fri Jul 15 15:49:35 2005


NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The ,
character is used as the data field separator. This file is also designed
to support parsing.

INPUT FILE:       tri_level_channel_clock_flip_map.ncd
OUTPUT FILE:      tri_level_channel_clock_flip_pad.csv
PART TYPE:        xc3s200
SPEED GRADE:      -5
PACKAGE:          pq208

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
P64,,IOB,IO_L27P_5,UNUSED,,5,,,,,,,
P65,,IOB,IO_L27N_5/VREF_5,UNUSED,,5,,,,,,,
P66,,,GND,,,,,,,,,,
P67,clmp_o,IOB,IO_L28P_5/D7,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,,
P68,,IOB,IO_L28N_5/D6,UNUSED,,5,,,,,,,
P69,,,VCCAUX,,,,,,,,2.5,,
P70,,,VCCINT,,,,,,,,1.2,,
P71,,IOB,IO,UNUSED,,5,,,,,,,
P72,,IOB,IO_L31P_5/D5,UNUSED,,5,,,,,,,
P73,,,VCCO_5,,,5,,,,,2.50,,
P74,,IOB,IO_L31N_5/D4,UNUSED,,5,,,,,,,
P75,,,GND,,,,,,,,,,
P76,f1485_i,IOB,IO_L32P_5/GCLK2,INPUT,LVCMOS25,5,,,,NONE,,,
P77,f1484_i,IOB,IO_L32N_5/GCLK3,INPUT,LVCMOS25,5,,,,NONE,,,
P78,,IOB,IO/VREF_5,UNUSED,,5,,,,,,,
P79,,IOB,IO_L32P_4/GCLK0,UNUSED,,4,,,,,,,
P80,sck_i,IOB,IO_L32N_4/GCLK1,INPUT,LVCMOS25,4,,,,NONE,,,
P81,,IOB,IO_L31P_4/DOUT/BUSY,UNUSED,,4,,,,,,,
P82,,,GND,,,,,,,,,,
P83,,IOB,IO_L31N_4/INIT_B,UNUSED,,4,,,,,,,
P84,,,VCCO_4,,,4,,,,,2.50,,
P85,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,
P86,,IOB,IO_L30P_4/D3,UNUSED,,4,,,,,,,
P87,,IOB,IO_L30N_4/D2,UNUSED,,4,,,,,,,
P88,,,VCCINT,,,,,,,,1.2,,
P89,,,VCCAUX,,,,,,,,2.5,,
P90,,IOB,IO_L27P_4/D1,UNUSED,,4,,,,,,,
P91,,,GND,,,,,,,,,,
P92,,IOB,IO_L27N_4/DIN/D0,UNUSED,,4,,,,,,,
P93,,IOB,IO,UNUSED,,4,,,,,,,
P94,,IOB,IO_L25P_4,UNUSED,,4,,,,,,,
P95,,IOB,IO_L25N_4,UNUSED,,4,,,,,,,
P96,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,
P97,,IOB,IO,UNUSED,,4,,,,,,,
P98,,,VCCO_4,,,4,,,,,2.50,,
P99,,,GND,,,,,,,,,,
P100,,IOB,IO_L01P_4/VRN_4,UNUSED,,4,,,,,,,
P101,,IOB,IO_L01N_4/VRP_4,UNUSED,,4,,,,,,,
P102,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,
P103,,,DONE,,,,,,,,,,
P104,,,CCLK,,,,,,,,,,
P105,,,GND,,,,,,,,,,
P106,,IOB,IO_L01P_3/VRN_3,UNUSED,,3,,,,,,,
P107,,IOB,IO_L01N_3/VRP_3,UNUSED,,3,,,,,,,
P108,,IOB,IO_L17P_3/VREF_3,UNUSED,,3,,,,,,,
P109,,IOB,IO_L17N_3,UNUSED,,3,,,,,,,
P110,,,VCCO_3,,,3,,,,,2.50,,
P111,,IOB,IO_L19P_3,UNUSED,,3,,,,,,,
P112,,,GND,,,,,,,,,,
P113,,IOB,IO_L19N_3,UNUSED,,3,,,,,,,
P114,,IOB,IO_L20P_3,UNUSED,,3,,,,,,,
P115,,IOB,IO_L20N_3,UNUSED,,3,,,,,,,
P116,,IOB,IO_L21P_3,UNUSED,,3,,,,,,,
P117,,IOB,IO_L21N_3,UNUSED,,3,,,,,,,
P118,,,GND,,,,,,,,,,
P119,,IOB,IO_L22P_3,UNUSED,,3,,,,,,,
P120,,IOB,IO_L22N_3,UNUSED,,3,,,,,,,
P121,,,VCCAUX,,,,,,,,2.5,,
P122,,IOB,IO_L23P_3/VREF_3,UNUSED,,3,,,,,,,
P123,,IOB,IO_L23N_3,UNUSED,,3,,,,,,,
P124,f8g_i,IOB,IO_L24P_3,INPUT,LVCMOS25,3,,,,NONE,,,
P125,f4m_i,IOB,IO_L24N_3,INPUT,LVCMOS25,3,,,,NONE,,,
P126,,IOB,IO_L39P_3,UNUSED,,3,,,,,,,
P127,,,VCCO_3,,,3,,,,,2.50,,
P128,,IOB,IO_L39N_3,UNUSED,,3,,,,,,,
P129,,,GND,,,,,,,,,,
P130,DAC_o<1>,IOB,IO_L40P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,
P131,DAC_o<2>,IOB,IO_L40N_3/VREF_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,
P132,DAC_o<3>,IOB,IO_L40P_2/VREF_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,
P133,DAC_o<0>,IOB,IO_L40N_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,
P134,,,GND,,,,,,,,,,
P135,tsg_level_i,IOB,IO_L39P_2,INPUT,LVCMOS25,2,,,,IFD,,,
P136,,,VCCO_2,,,2,,,,,2.50,,
P137,tsg_ok_o,IOB,IO_L39N_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,
P138,frame_start_o,IOB,IO_L24P_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,
P139,,IOB,IO_L24N_2,UNUSED,,2,,,,,,,
P140,,IOB,IO_L23P_2,UNUSED,,2,,,,,,,
P141,,IOB,IO_L23N_2/VREF_2,UNUSED,,2,,,,,,,
P142,,,VCCAUX,,,,,,,,2.5,,
P143,,IOB,IO_L22P_2,UNUSED,,2,,,,,,,
P144,,IOB,IO_L22N_2,UNUSED,,2,,,,,,,
P145,,,GND,,,,,,,,,,
P146,,IOB,IO_L21P_2,UNUSED,,2,,,,,,,
P147,,IOB,IO_L21N_2,UNUSED,,2,,,,,,,
P148,,IOB,IO_L20P_2,UNUSED,,2,,,,,,,
P149,,IOB,IO_L20N_2,UNUSED,,2,,,,,,,
P150,,IOB,IO_L19P_2,UNUSED,,2,,,,,,,
P151,,,GND,,,,,,,,,,
P152,,IOB,IO_L19N_2,UNUSED,,2,,,,,,,
P153,,,VCCO_2,,,2,,,,,2.50,,
P154,,IOB,IO/VREF_2,UNUSED,,2,,,,,,,
P155,,IOB,IO_L01P_2/VRN_2,UNUSED,,2,,,,,,,
P156,,IOB,IO_L01N_2/VRP_2,UNUSED,,2,,,,,,,
P157,,,GND,,,,,,,,,,
P158,,,TDO,,,,,,,,,,
P159,,,TCK,,,,,,,,,,
P160,,,TMS,,,,,,,,,,
P161,,IOB,IO_L01P_1/VRN_1,UNUSED,,1,,,,,,,
P162,,IOB,IO_L01N_1/VRP_1,UNUSED,,1,,,,,,,
P163,,,GND,,,,,,,,,,
P164,,,VCCO_1,,,1,,,,,na,,
P165,,IOB,IO_L10P_1,UNUSED,,1,,,,,,,
P166,,IOB,IO_L10N_1/VREF_1,UNUSED,,1,,,,,,,
P167,,IOB,IO,UNUSED,,1,,,,,,,
P168,,IOB,IO_L27P_1,UNUSED,,1,,,,,,,
P169,,IOB,IO_L27N_1,UNUSED,,1,,,,,,,
P170,,,GND,,,,,,,,,,
P171,,IOB,IO_L28P_1,UNUSED,,1,,,,,,,
P172,,IOB,IO_L28N_1,UNUSED,,1,,,,,,,
P173,,,VCCAUX,,,,,,,,2.5,,
P174,,,VCCINT,,,,,,,,1.2,,
P175,,IOB,IO,UNUSED,,1,,,,,,,
P176,,IOB,IO_L31P_1,UNUSED,,1,,,,,,,
P177,,,VCCO_1,,,1,,,,,na,,
P178,,IOB,IO_L31N_1/VREF_1,UNUSED,,1,,,,,,,
P179,,,GND,,,,,,,,,,
P180,,IOB,IO_L32P_1/GCLK4,UNUSED,,1,,,,,,,
P181,,IOB,IO_L32N_1/GCLK5,UNUSED,,1,,,,,,,
P182,,IOB,IO,UNUSED,,1,,,,,,,
P183,,IOB,IO_L32P_0/GCLK6,UNUSED,,0,,,,,,,
P184,,IOB,IO_L32N_0/GCLK7,UNUSED,,0,,,,,,,
P185,spl_div_o<1>,IOB,IO_L31P_0/VREF_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,
P186,,,GND,,,,,,,,,,
P187,spl_div_o<5>,IOB,IO_L31N_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,
P188,,,VCCO_0,,,0,,,,,2.50,,
P189,mosi_i,IOB,IO,INPUT,LVCMOS25,0,,,,IFD,,,
P190,cs_i,IOB,IO_L30P_0,INPUT,LVCMOS25,0,,,,IFD,,,
P191,sync_mode_o<0>,IOB,IO_L30N_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,
P192,,,VCCINT,,,,,,,,1.2,,
P193,,,VCCAUX,,,,,,,,2.5,,
P194,spl_div_o<0>,IOB,IO_L27P_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,
P195,,,GND,,,,,,,,,,
P196,spl_div_o<8>,IOB,IO_L27N_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,
P197,spl_div_o<2>,IOB,IO,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,
P198,,IOB,IO_L25P_0,UNUSED,,0,,,,,,,
P199,spl_div_o<9>,IOB,IO_L25N_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,
P200,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,
P201,,,VCCO_0,,,0,,,,,2.50,,
P202,,,GND,,,,,,,,,,
P203,,IOB,IO_L01P_0/VRN_0,UNUSED,,0,,,,,,,
P204,,IOB,IO_L01N_0/VRP_0,UNUSED,,0,,,,,,,
P205,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,
P206,,,HSWAP_EN,,,,,,,,,,
P207,,,PROG_B,,,,,,,,,,
P208,,,TDI,,,,,,,,,,

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen.

